"municipio","DRS","DRS.nome","id","DRS.nome.nonascii"
"Mato Leitão",28,"Santa Cruz do Sul",431215,"Santa_Cruz_do_Sul"
"Mato Queimado",11,"Santo Ângelo",431217,"Santo_Angelo"
"Maximiliano de Almeida",17,"Passo Fundo",431220,"Passo_Fundo"
"Minas do Leão",9,"Guaíba",431225,"Guaiba"
"Miraguaí",15,"Palmeira das Missões",431230,"Palmeira_das_Missoes"
"Montauri",17,"Passo Fundo",431235,"Passo_Fundo"
"Monte Alegre dos Campos",23,"Caxias do Sul",431237,"Caxias_do_Sul"
"Monte Belo do Sul",23,"Caxias do Sul",431238,"Caxias_do_Sul"
"Montenegro",8,"Canoas",431240,"Canoas"
"Mormaço",17,"Passo Fundo",431242,"Passo_Fundo"
"Morrinhos do Sul",4,"Capão Da Canoa",431244,"Capao_Da_Canoa"
"Morro Redondo",21,"Pelotas",431245,"Pelotas"
"Morro Reuter",7,"Novo Hamburgo",431247,"Novo_Hamburgo"
"Mostardas",4,"Capão Da Canoa",431250,"Capao_Da_Canoa"
"Muçum",29,"Lajeado",431260,"Lajeado"
"Muitos Capões",23,"Caxias do Sul",431261,"Caxias_do_Sul"
"Muliterno",17,"Passo Fundo",431262,"Passo_Fundo"
"Não-Me-Toque",17,"Passo Fundo",431265,"Passo_Fundo"
"Nicolau Vergueiro",17,"Passo Fundo",431267,"Passo_Fundo"
"Nonoai",16,"Erechim",431270,"Erechim"
"Nova Alvorada",17,"Passo Fundo",431275,"Passo_Fundo"
"Nova Araçá",23,"Caxias do Sul",431280,"Caxias_do_Sul"
"Nova Bassano",23,"Caxias do Sul",431290,"Caxias_do_Sul"
"Nova Boa Vista",15,"Palmeira das Missões",431295,"Palmeira_das_Missoes"
"Nova Bréscia",29,"Lajeado",431300,"Lajeado"
"Nova Candelária",14,"Santa Rosa",431301,"Santa_Rosa"
"Nova Esperança do Sul",1,"Santa Maria",431303,"Santa_Maria"
"Nova Hartz",7,"Novo Hamburgo",431306,"Novo_Hamburgo"
"Nova Pádua",23,"Caxias do Sul",431308,"Caxias_do_Sul"
"Nova Palma",1,"Santa Maria",431310,"Santa_Maria"
"Nova Petrópolis",23,"Caxias do Sul",431320,"Caxias_do_Sul"
"Nova Prata",23,"Caxias do Sul",431330,"Caxias_do_Sul"
"Nova Ramada",13,"Ijuí",431333,"Ijui"
"Nova Roma do Sul",23,"Caxias do Sul",431335,"Caxias_do_Sul"
"Nova Santa Rita",8,"Canoas",431337,"Canoas"
"Novo Barreiro",15,"Palmeira das Missões",431349,"Palmeira_das_Missoes"
"Novo Cabrais",27,"Cachoeira do Sul",431339,"Cachoeira_do_Sul"
"Novo Hamburgo",7,"Novo Hamburgo",431340,"Novo_Hamburgo"
"Novo Machado",14,"Santa Rosa",431342,"Santa_Rosa"
"Novo Tiradentes",15,"Palmeira das Missões",431344,"Palmeira_das_Missoes"
"Novo Xingu",15,"Palmeira das Missões",431346,"Palmeira_das_Missoes"
"Osório",4,"Capão Da Canoa",431350,"Capao_Da_Canoa"
"Paim Filho",17,"Passo Fundo",431360,"Passo_Fundo"
"Palmares do Sul",4,"Capão Da Canoa",431365,"Capao_Da_Canoa"
"Palmeira das Missões",15,"Palmeira das Missões",431370,"Palmeira_das_Missoes"
"Palmitinho",15,"Palmeira das Missões",431380,"Palmeira_das_Missoes"
"Panambi",13,"Ijuí",431390,"Ijui"
"Pantano Grande",28,"Santa Cruz do Sul",431395,"Santa_Cruz_do_Sul"
"Paraí",23,"Caxias do Sul",431400,"Caxias_do_Sul"
"Paraíso do Sul",1,"Santa Maria",431402,"Santa_Maria"
"Pareci Novo",8,"Canoas",431403,"Canoas"
"Parobé",6,"Taquara",431405,"Taquara"
"Passa Sete",27,"Cachoeira do Sul",431406,"Cachoeira_do_Sul"
"Passo do Sobrado",28,"Santa Cruz do Sul",431407,"Santa_Cruz_do_Sul"
"Passo Fundo",17,"Passo Fundo",431410,"Passo_Fundo"
"Paulo Bento",16,"Erechim",431413,"Erechim"
"Paverama",29,"Lajeado",431415,"Lajeado"
"Pedras Altas",21,"Pelotas",431417,"Pelotas"
"Pedro Osório",21,"Pelotas",431420,"Pelotas"
"Pejuçara",13,"Ijuí",431430,"Ijui"
"Pelotas",21,"Pelotas",431440,"Pelotas"
"Picada Café",23,"Caxias do Sul",431442,"Caxias_do_Sul"
"Pinhal",15,"Palmeira das Missões",431445,"Palmeira_das_Missoes"
"Pinhal da Serra",23,"Caxias do Sul",431446,"Caxias_do_Sul"
"Pinhal Grande",1,"Santa Maria",431447,"Santa_Maria"
"Pinheirinho do Vale",15,"Palmeira das Missões",431449,"Palmeira_das_Missoes"
"Pinheiro Machado",21,"Pelotas",431450,"Pelotas"
"Pinto Bandeira",23,"Caxias do Sul",431454,"Caxias_do_Sul"
"Pirapó",11,"Santo Ângelo",431455,"Santo_Angelo"
"Piratini",21,"Pelotas",431460,"Pelotas"
"Planalto",15,"Palmeira das Missões",431470,"Palmeira_das_Missoes"
"Poço das Antas",29,"Lajeado",431475,"Lajeado"
"Pontão",17,"Passo Fundo",431477,"Passo_Fundo"
"Ponte Preta",16,"Erechim",431478,"Erechim"
"Portão",7,"Novo Hamburgo",431480,"Novo_Hamburgo"
"Porto Alegre",10,"Porto Alegre",431490,"Porto_Alegre"
"Porto Lucena",14,"Santa Rosa",431500,"Santa_Rosa"
"Porto Mauá",14,"Santa Rosa",431505,"Santa_Rosa"
"Porto Vera Cruz",14,"Santa Rosa",431507,"Santa_Rosa"
"Porto Xavier",11,"Santo Ângelo",431510,"Santo_Angelo"
"Pouso Novo",29,"Lajeado",431513,"Lajeado"
"Presidente Lucena",7,"Novo Hamburgo",431514,"Novo_Hamburgo"
"Progresso",29,"Lajeado",431515,"Lajeado"
"Protásio Alves",23,"Caxias do Sul",431517,"Caxias_do_Sul"
"Putinga",29,"Lajeado",431520,"Lajeado"
"Quaraí",3,"Uruguaiana",431530,"Uruguaiana"
"Quatro Irmãos",16,"Erechim",431531,"Erechim"
"Quevedos",1,"Santa Maria",431532,"Santa_Maria"
"Quinze de Novembro",12,"Cruz Alta",431535,"Cruz_Alta"
"Redentora",15,"Palmeira das Missões",431540,"Palmeira_das_Missoes"
"Relvado",29,"Lajeado",431545,"Lajeado"
"Restinga Seca",1,"Santa Maria",431550,"Santa_Maria"
"Rio dos Índios",16,"Erechim",431555,"Erechim"
"Rio Grande",21,"Pelotas",431560,"Pelotas"
"Rio Pardo",28,"Santa Cruz do Sul",431570,"Santa_Cruz_do_Sul"
"Riozinho",6,"Taquara",431575,"Taquara"
"Roca Sales",29,"Lajeado",431580,"Lajeado"
"Rodeio Bonito",15,"Palmeira das Missões",431590,"Palmeira_das_Missoes"
"Rolador",11,"Santo Ângelo",431595,"Santo_Angelo"
"Rolante",6,"Taquara",431600,"Taquara"
"Ronda Alta",15,"Palmeira das Missões",431610,"Palmeira_das_Missoes"
"Rondinha",15,"Palmeira das Missões",431620,"Palmeira_das_Missoes"
"Roque Gonzales",11,"Santo Ângelo",431630,"Santo_Angelo"
"Rosário do Sul",3,"Uruguaiana",431640,"Uruguaiana"
"Sagrada Família",15,"Palmeira das Missões",431642,"Palmeira_das_Missoes"
"Saldanha Marinho",12,"Cruz Alta",431643,"Cruz_Alta"
"Salto do Jacuí",12,"Cruz Alta",431645,"Cruz_Alta"
"Salvador das Missões",11,"Santo Ângelo",431647,"Santo_Angelo"
"Salvador do Sul",8,"Canoas",431650,"Canoas"
"Sananduva",17,"Passo Fundo",431660,"Passo_Fundo"
"Santa Bárbara do Sul",12,"Cruz Alta",431670,"Cruz_Alta"
"Santa Cecília do Sul",17,"Passo Fundo",431673,"Passo_Fundo"
"Santa Clara do Sul",29,"Lajeado",431675,"Lajeado"
"Santa Cruz do Sul",28,"Santa Cruz do Sul",431680,"Santa_Cruz_do_Sul"
"Santa Margarida do Sul",3,"Uruguaiana",431697,"Uruguaiana"
"Santa Maria",1,"Santa Maria",431690,"Santa_Maria"
"Santa Maria do Herval",7,"Novo Hamburgo",431695,"Novo_Hamburgo"
"Santa Rosa",14,"Santa Rosa",431720,"Santa_Rosa"
"Santa Tereza",23,"Caxias do Sul",431725,"Caxias_do_Sul"
"Santa Vitória do Palmar",21,"Pelotas",431730,"Pelotas"
"Santana da Boa Vista",21,"Pelotas",431700,"Pelotas"
"Santana do Livramento",3,"Uruguaiana",431710,"Uruguaiana"
"Santiago",1,"Santa Maria",431740,"Santa_Maria"
"Santo Ângelo",11,"Santo Ângelo",431750,"Santo_Angelo"
"Santo Antônio da Patrulha",4,"Capão Da Canoa",431760,"Capao_Da_Canoa"
"Santo Antônio das Missões",11,"Santo Ângelo",431770,"Santo_Angelo"
"Santo Antônio do Palma",17,"Passo Fundo",431755,"Passo_Fundo"
"Santo Antônio do Planalto",17,"Passo Fundo",431775,"Passo_Fundo"
"Santo Augusto",13,"Ijuí",431780,"Ijui"
"Santo Cristo",14,"Santa Rosa",431790,"Santa_Rosa"
"Santo Expedito do Sul",17,"Passo Fundo",431795,"Passo_Fundo"
"São Borja",11,"Santo Ângelo",431800,"Santo_Angelo"
"São Domingos do Sul",17,"Passo Fundo",431805,"Passo_Fundo"
"São Francisco de Assis",1,"Santa Maria",431810,"Santa_Maria"
"São Francisco de Paula",6,"Taquara",431820,"Taquara"
"São Gabriel",3,"Uruguaiana",431830,"Uruguaiana"
"São Jerônimo",9,"Guaíba",431840,"Guaiba"
"São João da Urtiga",17,"Passo Fundo",431842,"Passo_Fundo"
"São João do Polêsine",1,"Santa Maria",431843,"Santa_Maria"
"São Jorge",23,"Caxias do Sul",431844,"Caxias_do_Sul"
"São José das Missões",15,"Palmeira das Missões",431845,"Palmeira_das_Missoes"
"São José do Herval",29,"Lajeado",431846,"Lajeado"
"São José do Hortêncio",7,"Novo Hamburgo",431848,"Novo_Hamburgo"
"São José do Inhacorá",14,"Santa Rosa",431849,"Santa_Rosa"
"São José do Norte",21,"Pelotas",431850,"Pelotas"
"São José do Ouro",17,"Passo Fundo",431860,"Passo_Fundo"
"São José do Sul",8,"Canoas",431861,"Canoas"
"São José dos Ausentes",23,"Caxias do Sul",431862,"Caxias_do_Sul"
"São Leopoldo",7,"Novo Hamburgo",431870,"Novo_Hamburgo"
"São Lourenço do Sul",21,"Pelotas",431880,"Pelotas"
"São Luiz Gonzaga",11,"Santo Ângelo",431890,"Santo_Angelo"
"São Marcos",23,"Caxias do Sul",431900,"Caxias_do_Sul"
"São Martinho",13,"Ijuí",431910,"Ijui"
"São Martinho da Serra",1,"Santa Maria",431912,"Santa_Maria"
"São Miguel das Missões",11,"Santo Ângelo",431915,"Santo_Angelo"
"São Nicolau",11,"Santo Ângelo",431920,"Santo_Angelo"
"São Paulo das Missões",14,"Santa Rosa",431930,"Santa_Rosa"
"São Pedro da Serra",8,"Canoas",431935,"Canoas"
"São Pedro das Missões",15,"Palmeira das Missões",431936,"Palmeira_das_Missoes"
"São Pedro do Butiá",11,"Santo Ângelo",431937,"Santo_Angelo"
"São Pedro do Sul",1,"Santa Maria",431940,"Santa_Maria"
"São Sebastião do Caí",8,"Canoas",431950,"Canoas"
"São Sepé",1,"Santa Maria",431960,"Santa_Maria"
"São Valentim",16,"Erechim",431970,"Erechim"
"São Valentim do Sul",29,"Lajeado",431971,"Lajeado"
