Nome,@ no Twitter,O que divulga (área de estudo/tema)?
Luma Ramirez,@lululiinn,Física Nuclear
Mayana Zatz,@Mayanazatz,Genética
Pierre Felix,@pierrefelixx,Genética
Alberto Dávila,@amrdavila,Genômica
geonatureza ⛰,@geonatureza,Geografia
Serpent IN formes,@acascenso ,Herpetologia
Herpeto Capixaba,@HerpetoCapixaba,Herpetologia
Herpetologia Brasileira,@herpetologiaBR,Herpetologia
Coleção Herpetológica da UFPB,@herpetoufpb,Herpetologia
Herpeto Em Foco,@herpetoemfoco,Herpetologia
El Sapón,@ElGrandSapon,Herpetologia
Herpaid'égua,@herpaid,Herpetologia
🐍 Serpent IN formes 🤷🏽‍♂️🏡,@AcAscenso,Herpetologia
Herpetologia Segundo as Herpetólogas,@herpgirls,Herpetologia
Mulher da Cobra 🐍,@vitoria_deolind,Herpetologia
Papo de Cobra,@papodecobra,Herpetologia
Henrique Costa ,@ccostah,Herpetologia
Rhinella mahima @ 🏡 𓆏,@iamafrogy,Herpetologia
Diego Santana,@diegojsantana,Herpetologia
Otávio Vulcão,@OtavioVulcao,Herpetologia e Ecologia
Xadrez Verbal,@XadrezVerbal,História
Dr. Tupá Guerra,@tupaguerra,História
Gabriel Bom,@_gabrielbonz,História
Sara Tatiane,@saratatianej ,História
Habitat História Natural,@habitat_hn,História natural
IctioLand 🐟 (Peixes),@IctiologiaBr,Ictiologia
Marcelo Bragatte,@MarceloBragatte,Imunogenética e Biologia
Carina Heusner 🔬,@carinaheusner,Imunologia
Rafael Polidoro,@RafaelPolidoro2,Imunologia
Bruno Ishigami,@b_ishigami,Infectologia
Inteligência Artificial BR – #AIThreadBR,@AIThreadBR,Inteligência Artificial
Debbie Cabral,@debbie_cab,Linguística
Thiago Motta Sampaio,@MottaFogo,Linguística
Roseta,@revistaroseta,Linguística
Mahayana Godoy,@mahagodoy,Linguística
Evandro Cunha,@Cunha_et_al,Linguística
Perímetro | Prof. Dr. Romulo Rosa,@operimetro,Matemática
julia jaccoud,@amatemaniaca,Matemática
Américo Cunha,@AmericoCunhaJr,Matemática e Covid-19
Crhis Vasconcelos,@Crhisllane,Medicina
Flavia Ward,@nogflavia,Medicina Veterinária
julio cesar pascale palhares,@jcpasca,Meio ambiente
Canal Metrologia ,@CanalMetrologia,Metrologia
DivulgaMicro,@DivulgaMicro,Microbiologia
Podcast Microbiando,@microbiando,Microbiologia
O Que Você Faria se Soubesse o Que Eu Sei?,@OQVc_Faria,Mudanças climáticas
Casa Da Ciência CP,@casadacienciacp,Museu de ciências
Stevens Rehen,@stevensrehen,Neurociência
Mellanie Fontes-Dutra,@mellziland,Neurociência
Andre L Souza ,@andrelesouza,Neurociência
Aves do Brasil,@OrnitologiaB,Ornitologia
Beatriz Tavares ,@bialogando,Ornitologia
Alexia Granado🐦,@alexia_granado,Ornitologia
Lucy Souza (#makesciencebr),@gryposouza,Paleontologia
Aline Ghilardi,@alinemghilardi,Paleontologia
Taissa Rodrigues,@paleotaissa,Paleontologia
Colecionadores,@Colecionadores2,Paleontologia
gabi sobral ,@darkgabi,Paleontologia
Coprólita,@Joseane_sf,Paleontologia
Parasito World,@parasitoworld,Parasitologia
*Aninha*,@AninhaArantes,Psicologia
Boteco Behaviorista,@BBehaviorista,Psicologia
Felipe,@felipefrog,Psicologia
Dr M,@CogPsi,Psicologia
Ananias Queiroga,@ananias_1979,Psicologia e Covid-19
João Victor Silva Néto ,@thesn98,Química
Quimica da zueira,@QuimicaZueira,Química
netohenrique,@netoahenrique,Sociologia
Luciana Drumond,@lucianadrumond1,"Sociologia, Psicologia e Covid-19"
Canal Peixe Babel,@canalpeixebabel,Tecnologia
Nina da Hora - Cientista em Construção,@ninadhora,Tecnologia
Vivi Mota,@avivimota,Tecnologia
Lavits,@Lavits_,Tecnologia
Mestre Babel,@milalaranjeira,Tecnologia
Alexandre Borin,@aleeborin,Virologia
Vida no Zoo 🦒,@VidaNoZoo,Zoologia
Biodiversidade Brasileira,@BiodiversidadeB,
Projeto Mantis,@projetomantis,
"Bruno Filardi, MD, PhD",@mab_sp125,
sic mundus creatus est,@meistrephilipos,
A Eng. Florestal do YouTube 🌳🌳,@vanecosta10,
Marcel Ribeiro-Dantas 👨🏻‍💻,@mribeirodantas,"Data Science, Inteligência Artificial, Causalidade, Câncer e COVID19"
Chico Camargo,@evoluchico,
star em casa,@estrela__,
Isis Nóbile Diniz,@isisrnd,
DuoCiencia,@DuoCiencia,
notas não aleatórias,@ntsnaleatorias,
Tesla Coil Podcast,@TeslaCoilCast,
Clara Matheus,@claramatheus,
Yara Laiz Souza,@girlonscience,
